b1553,rzpQ
b4689,rzoQ
b1554,rrrQ
b1555,ydfR
b1556,essQ
b1557,cspB
b1558,cspF
b1559,quuQ
b1560,ydfU
b1561,rem
b1562,hokD
b1563,relE
b1564,relB
b1565,ydfV
b1566,flxA
b1567,intK
b1568,ydfX
b1569,dicC
b1570,dicA
b1571,ydfA
b1572,ydfB
b1573,ydfC
b1574,dicF
b1575,dicB
b1576,ydfD
b1577,ydfE
b1578,insD
b1579,intQ
b1580,rspB
b1581,rspA
b1582,ynfA
b1583,ynfB
b1584,speG
b1585,ynfC
b1586,ynfD
b1587,ynfE
b1588,ynfF
b1589,ynfG
b1590,ynfH
b1591,dmsD
b1592,clcB
b1593,ynfK
b1594,dgsA
b1595,ynfL
b1596,ynfM
b1597,asr
b4601,ydgU
b1598,ydgD
b1599,mdtI
b1600,mdtJ
b1601,tqsA
b1602,pntB
b1603,pntA
b1604,ydgH
b1605,ydgI
b1606,folM
b1607,ydgC
b1608,rstA
b1609,rstB
b1610,tus
b1611,fumC
b1612,fumA
b1613,manA
b1614,ydgA
b1615,uidC
b1616,uidB
b1617,uidA
b1618,uidR
b1619,hdhA
b1620,malI
b1621,malX
b1622,malY
b1623,add
b1624,ydgJ
b4409,blr
b1625,cnu
b1626,ydgK
b1627,rsxA
b1628,rsxB
b1629,rsxC
b1630,rsxD
b1631,rsxG
b1632,rsxE
b1633,nth
b1634,dtpA
b1635,gstA
b1636,pdxY
b1637,tyrS
b1638,pdxH
b1639,mliC
b1640,anmK
b1641,slyB
b1642,slyA
b1643,ydhI
